fundType,companyName,fundName,registeredAt,expiredAt,settlementMonth,manager,support,purpose,industry,baseRate,totalAmount
투자조합,스틱벤처스,스틱벤처스 모태자조합 제5호,,,12,,모태펀드,,,,138500000000
투자조합,에스비브이에이,에스비브이에이 모태자조합 제2호,,,12,,모태펀드,,,,87500000000
투자조합,에스엘인베스트먼트,에스엘인베스트먼트 모태자조합 제5호,,,12,,모태펀드,,,,50000000000
투자조합,컴퍼니케이파트너스,컴퍼니케이파트너스 모태자조합 제5호,,,12,,모태펀드,,,,20000000000
투자조합,에이치비인베스트먼트,에이치비인베스트먼트 모태자조합 제6호,,,12,,모태펀드,,,,55000000000
투자조합,에이티넘인베스트먼트,에이티넘인베스트먼트 모태자조합 제6호,,,12,,모태펀드,,,,105720000000
투자조합,한국투자파트너스,한국투자파트너스 모태자조합 제7호,,,12,,모태펀드,,,,104800000000
투자조합,엘비인베스트먼트,엘비인베스트먼트 모태자조합 제9호,,,12,,모태펀드,,,,71600000000
투자조합,한국벤처투자,한국벤처투자 모태자조합 제3호,,,12,,모태펀드,,,,10000000000
투자조합,마젤란기술투자,마젤란기술투자 모태자조합 제1호,,,12,,모태펀드,,,,10000000000
투자조합,비에스케이인베스트먼트,비에스케이인베스트먼트 모태자조합 제2호,,,12,,모태펀드,,,,10000000000
투자조합,유니창업투자,유니창업투자 모태자조합 제1호,,,12,,모태펀드,,,,5760000000
투자조합,디에스씨인베스트먼트,디에스씨인베스트먼트 모태자조합 제1호,,,12,,모태펀드,,,,10000000000
투자조합,캡스톤파트너스,캡스톤파트너스 모태자조합 제3호,,,12,,모태펀드,,,,36000000000
투자조합,쿨리지코너인베스트먼트,쿨리지코너인베스트먼트 모태자조합 제1호,,,12,,모태펀드,,,,14500000000
투자조합,미래에셋벤처투자,미래에셋벤처투자 모태자조합 제2호,,,12,,모태펀드,,,,4000000000
투자조합,트루윈창업투자,트루윈창업투자 모태자조합 제2호,,,12,,모태펀드,,,,12000000000
투자조합,케이투인베스트먼트파트너스,케이투인베스트먼트파트너스 모태자조합 제1호,,,12,,모태펀드,,,,46500000000
투자조합,한국벤처투자,한국벤처투자 모태자조합 제4호,,,12,,모태펀드,,,,5000000000
투자조합,지온인베스트먼트,지온인베스트먼트 모태자조합 제3호,,,12,,모태펀드,,,,20000000000
투자조합,한국벤처투자,한국벤처투자 모태자조합 제5호,,,12,,모태펀드,,,,5000000000
투자조합,한국벤처투자,한국벤처투자 모태자조합 제6호,,,12,,모태펀드,,,,15250000000
투자조합,대교인베스트먼트,대교인베스트먼트 모태자조합 제1호,,,12,,모태펀드,,,,10000000000
투자조합,티에스인베스트먼트,티에스인베스트먼트 모태자조합 제3호,,,12,,모태펀드,,,,30000000000
투자조합,캐피탈원,캐피탈원 모태자조합 제2호,,,12,,모태펀드,,,,10000000000
투자조합,한국엔젤투자협회,한국엔젤투자협회 모태자조합 제1호,,,12,,모태펀드,,,,5000000000
투자조합,한국벤처투자,한국벤처투자 모태자조합 제7호,,,12,,모태펀드,,,,3000000000
투자조합,한국벤처투자,한국벤처투자 모태자조합 제8호,,,12,,모태펀드,,,,33000000000
투자조합,한국벤처투자,한국벤처투자 모태자조합 제9호,,,12,,모태펀드,,,,21000000000
투자조합,플래티넘기술투자,플래티넘기술투자 모태자조합 제3호,,,12,,모태펀드,,,,10000000000
투자조합,대덕인베스트먼트,대덕인베스트먼트 모태자조합 제1호,,,12,,모태펀드,,,,11100000000
투자조합,씨제이인베스트먼트,씨제이인베스트먼트 모태자조합 제5호,,,12,,모태펀드,,,,22500000000
